prompt,completion
"From: brifre1@ac.dal.ca
Subject: Re: Goalie masks
Organization: Dalhousie University, Halifax, Nova Scotia, Canada
Lines: 22

In article <93102@hydra.gatech.EDU>, gtd597a@prism.gatech.EDU (Hrivnak) writes:
> 
> 	I'm starting an informal poll on goalie masks. I'd like to know
> who's mask you think looks the best. I've always like Curtis Joseph's
> of the Blues the best. Anyway, send your nominations to me, or post your
> vote here on r.s.h. My e-mail adress is: gtd597a@prism.gatech.edu
> 
> 	Thanks for your time.

I saw a mask once that had drawings of band-aids, presumably for every puck
that goalie stopped with his face/head.  I can't remember who it was or even
if it was NHL (I see quite a few AHL games here).

This is by far the funniest mask I've seen, and for me funny=cool

> 
> -- 
> GO SKINS!    ||""Now for the next question... Does emotional music have quite
> GO BRAVES!   ||   an effect on you?"" - Mike Patton, Faith No More 
> GO HORNETS!  ||
> GO CAPITALS! ||Mike Friedman (Hrivnak fan!) Internet: gtd597a@prism.gatech.edu
Barfly",hockey
"From: dwk@cci632.cci.com (Dave Kehrer)
Subject: Individual Winners (WAS: Re: WHERE ARE THE DOUBTERS NOW? HMM?)
Summary: my picks
Organization: Northern Telecom, Inc. - Network Application Systems
Lines: 45

Well, since you mentioned it...

In article <1993Apr12.142028.6300@jarvis.csri.toronto.edu>, migod@turing.toronto.edu (Mike Godfrey) writes:
  
> Lemieux is clearly the MVP

No question here.  Chip in the Masterson as well...

> Selanne wins the Calder

Yep. 

> Chelios the Norris,

If you asked me 30 days ago, I'd agree with you.  I now give the nod to
Raymond Bourque; his play took off the same time the B's did.  Chelios
gets a close second...

> dunno who wins the Vezina, but I suspect not Potvin.  
  
Barrasso finally gets his due, in a close one over Eddie the Eagle...

> Coach of the year is tricky:  Burns did the most with the least raw talent,
> King did a good job but the Flames clearly underachieved last year, Brian
> Sutter has done exceptionally well in his first year with a new team, ditto
> Demers, Page has been blessed by the ripening and acquisition of young
> talent, Darryl Sutter is having a good year for a rookie coach, Berry made
> the best of a bad situation, Terry Crisp worked minor miracles, and Bowman
> was Bowman.  I'd pick Burns, but I'm mildly biased.

In *your* case, that bias is acceptable :-)... Mine shows with the Norris pick,
so we're even...

I'm impressed with what all the coaches you mentioned did, but my pick would be 
Al Arbour.  Not too many folks thought the Isles would be in the playoffs, let 
alone contend for 3rd in their division... Granted that they *did* have a little
help from their cousins on Broadway... :-)

And I like the Islanders about as much as I like mowing my lawn...

> Mike Godfrey
--------
David Kehrer (dwk@sunsrvr2.cci.com)-Northern Telecom NAS-Rochester, New York 
""It's nothing for me to eat six or seven pieces of pizza, then go out to
dinner with my wife and not remember I had the pizza."" - Jacques Demers",hockey
"From: cub@csi.jpl.nasa.gov (Ray Miller)
Subject: Sid Fernandez?
Nntp-Posting-Host: chopin
Organization: Jet Propulsion Laboratory
Distribution: usa
Lines: 10

I read this morning that Sid Fernandez left last nights' game with stiffness
in his shoulder. Does anyone have any information as to the extent of the
injury (if indeed there is one), or weather the cold air in Colorado just got
his joints a little stiff?

Thanks for the help...
|         Ray Miller           |            DISCLAIMER               |
|  cub@chopin.jpl.nasa.gov     |  All opinions are strictly my own   |
								     
 ""I once spent a year in Philadelphia, I think it was on a Sunday"" WCFields",baseball
"From: golchowy@alchemy.chem.utoronto.ca (Gerald Olchowy)
Subject: Re: Too Many Europeans in NHL
Article-I.D.: alchemy.1993Apr6.142037.9246
Organization: University of Toronto Chemistry Department
Lines: 14

In article <1993Apr6.044323.22829@pasteur.Berkeley.EDU> daniell@cory.Berkeley.EDU (Daniel Lyddy) writes:
>
>You know, you're absolutely right.  I think we should round up all those
>players of European descent and ship 'em back to where they came from.  Let's
>see, with whom should we start?  I dunno, Lemieux?  Hmmm...sounds like he
>has *French* blood in him!!!  Hey!  France is part of Europe!  Send that
>Euro-blooded boy back!!!
>

Don't you Americans study history...the French settled in North America
as early or before the British...Lemieux can probably trace back his
North American heritage back a lot further than most of us.

Gerald",hockey
"From: krattige@hpcc01.corp.hp.com (Kim Krattiger)
Subject: Re: Kevin Rogers
Organization: the HP Corporate notes server
Lines: 14

>/ hpcc01:rec.sport.baseball / pjtier01@ulkyvx.louisville.edu / 12:23 pm  Apr 14, 1993 /
>
>What's up with Kevin Rogers of San Francisco??  I thought he was slated to be
>the fifth starter, but he's only gotten a few relief appearences.  Are they
>going with four starters for now, or is someone else the fifth?
>
>                                                             Thanks,
>                                                                   P. Tierney
>----------
>
Giant's have a five man rotation of  John Burkett, Trevor Wilson,
Bill Swift, Jeff Brantley, and Bud Black/Dave Burba.  Black has
been put on the 15 day disables and Dave Burba will take his starts.",baseball
"From: CROSEN1@ua1vm.ua.edu (Charles Rosen)
Subject: Lots of runs
Nntp-Posting-Host: ua1vm.ua.edu
Organization: The University of Alabama, Tuscaloosa
Lines: 4

I have noticed that this year has had a lot of high scoring games (at least the
NL has).  I believe one reason are the expansion teams.  Any thoughts?
 
Charles",baseball
"Subject: Re: quick way to tell if your local beat writer is dumb.
From: rbd@flash.ece.uc.edu (Bobby Davis)
Organization: University of Cincinnati
Nntp-Posting-Host: flash.ece.uc.edu
Lines: 13

Bob Gajarsky - Hobokenite writes:
>jayson stark (i trhink that's him) fits perfectly in this category.
>
>anyone who writes ""dean palmer has 2 homers  - at this pace, he'll
> have 324 home runs!"" should be shot.

Bob, I think that Stark does this sort of thing as a joke, not as a
serious prediction.  I don't really see why we should shoot him for
that.  The guys who ought to be shot are the ones who keep claiming
how great the Royals' chances are in the AL West, since all evidence
indicates that they aren't joking and actually believe it.

Bob Davis	rbd@thor.ece.uc.edu",baseball
"From: luriem@alleg.edu The Liberalizer (Michael Lurie)
Subject: Re: YANKKES 1 GAME CLOSER
Article-I.D.: alleg.1993Apr6.210350.2865
Organization: Allegheny College
Lines: 29

In article <002251w.5.734117130@axe.acadiau.ca> 002251w@axe.acadiau.ca  
(JASON WALTER WORKS) writes:
>     The N.Y.Yankees, are now one game closer to the A.L.East pennant.   
They 
> clobbered Cleveland, 9-1, on a fine pitching performance by Key, and two 
> homeruns by Tartabull(first M.L.baseball to go out this season), and a  
three 
> run homer by Nokes.  For all of you who didn't pick Boggs in your pools, 
> tough break, he had a couple hits, and drove in a couple runs(with many  
more 
> to follow).  The Yanks beat an up and coming team of youngsters in the 
> Indians.  The Yankees only need to win 95 more games to get the  
division.
>  GO YANKS., Mattingly for g.glove, and MVP, and Abbot for Cy Young.
> 
>                                              ---> jason.

Jason, I am going to a yankee game wed night at cleveland stadium. I am so  
happy.


But Cleveland is a very bad team who lost severalrs. They were an up and  
coming team, now they are just a sad excuse for a better average.



ABBOT WILL NOT WIN THE CY.!!!!!! MELIDO PEREZ WILL. as bold a prediction  
as they come., Well herOT be in last place by the end of the season. Mike  
lurie Speaks, and the world listens.",baseball
"From: fls@keynes.econ.duke.edu (Forrest Smith)
Subject: Re: Infield Fly Rule
Organization: Duke University; Durham, N.C.
Lines: 13
Nntp-Posting-Host: keynes.econ.duke.edu

In article <1qmrciINNoin@gap.caltech.edu> shippert@cco.caltech.edu (Tim Shippert) writes:
[about the infield fly rule]
>So, if he's feeling lucky, your runner at second can sprint for glory
>as soon as the ball is popped up.  If it isn't caught, he's probably scored
>a run.  If it is, he's probably headed for AAA.  
>
	Unless he's Deion Sanders, in which case he just heads back to the
dugout and waits for his next base-running-blunder opportunity.
-- 
@econ.duke.edu     fls@econ.duke.edu     fls@econ.duke.edu    fls@econ.duke.
s  To my correspondents:  My email has been changed.                       e
l                         My new address is:  fls@econ.duke.edu            d
f            If mail bounces, try fls@raphael.acpub.duke.edu               u",baseball
"Subject: Re: Jewish Baseball Players?
From: rbd@flash.ece.uc.edu (Bobby Davis)
Organization: University of Cincinnati
NNTP-Posting-Host: flash.ece.uc.edu
Lines: 5

Hank Greenberg was probably the greatest ever.  He was also subject to a
lot of heckling from bigots on the opposing teams and in the stands, but
it never seemed to affect his performance negatively.

Bob Davis	rbd@thor.ece.uc.edu",baseball
"From: warped@cs.montana.edu (Doug Dolven)
Subject: Mel Hall
Organization: CS
Lines: 9


Has anyone heard anything about Mel Hall this season?  I'd heard he wasn't
with the Yankees any more.  What happened to him?

				Doug Dolven
-- 
Doug Dolven
warped@cs.montana.edu
gdd7548@trex.oscs.montana.edu",baseball
"From: jerry@sheldev.shel.isc-br.com (Gerald Lanza)
Subject: Re: '61 Orioles Trivia
Organization: Olivetti North America (Shelton, CT)
Lines: 20

In article <1993Apr14.190432.1706@hpcvaac.cv.hp.com> paula@koufax.cv.hp.com (Paul Andresen) writes:
>In article <1993Apr13.151809.1286@galileo.cc.rochester.edu>, sparky@balsa.lle.rochester.edu (Michael Mueller) writes:
>|> Hi All,
>|> 
>|> Does anyone know who were the 4 pitchers for the 1961 Orioles 
>|> that were referred to as the ""Kiddy Corp"" because they were so young?
>
>Steve Barber  22   18-12
>Chuck Estrada 23   15-9
>Jack Fisher   22   10-13
>Milt Pappas   22   13-9
>

	This list brings to mind possible the worst trade since Babe for
	NONO NANNETTE, i.e., Milt Pappas for Frank Robinson, I think in
	1965 ?. Robinson proceeded to win the triple crown in 1966 and
	may have beaten out Yaz in '67 but was injured on a slide into 
	second when he collided with the mighty Al Weis (Chisox). 

					jerry",baseball
"From: mjones@fenway.aix.kingston.ibm.com (Mike Jones)
Subject: Re: My Belated Predictions (NL)
Reply-To: mjones@donald.aix.kingston.ibm.com
Organization: IBM AIX/ESA Development, Kingston NY
Lines: 34

mss@netcom.com (Mark Singer) writes:
>In article <Apr.4.19.42.08.1993.12176@pilot.njin.net> gajarsky@pilot.njin.net (Bob Gajarsky - Hobokenite) writes:
>>javier lopez is a better catcher than greg olson.
>But has there ever in the history of baseball been a 22-year-old (or
>younger) *rookie* catcher who compared favorably among all league
>catchers in terms of defense and brought a .247 bat?  Wasn't it 
>Sandy Alomar who was supposed to be that good in his rookie year?
>Not.  Wasn't it Benito Santiago who was supposed to be that good
>in his rookie year?  Not.

Hrm. Sandy Alomar, 24 year old rookie: 132 games, .290/.326/.418. Threw
out a few baserunners. Benito Santiago, 22 year old rookie: 146 games,
.300/.324/.467. He threw out a few baserunners, too. Ivan Rodriguez,
*20* year old rookies: 88 games, .264/.276/.354. Didn't exactly suck
behind the plate.

>I can continue this thread with the others mentioned, but you get
>the point.  You and others seem to be so quick to dismiss the 
>seasoned veterans in favor of the hot *young* rookies.  Perhaps -
>just perhaps - the management team of the pennant-winning Braves
>knows something more than you do.  And perhaps what they know is
>that very, very few 21- and 22-year old rookies come up to the majors
>and make an impact. 

True. Which only makes it more important to realize when you have one of the
few. Lopez' season last year, adjusted to major league equivalencies, was
.306/.330/.472, 15 HRs. How bad does he have to be behind the plate for that
to not be better than Olson's .238/.316/.328?

 Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com

I would not admire hitting against [Ryne] Duren, because if he ever hit you
in the head you might be in the past tense.
	- Casey Stengel",baseball
"From: roger@crux.Princeton.EDU (Roger Lustig)
Subject: Re: New Home for the Bosox!!!
Originator: news@nimaster
Nntp-Posting-Host: crux.princeton.edu
Reply-To: roger@astro.princeton.edu (Roger Lustig)
Organization: Princeton University
Lines: 30

In article <1993Apr15.132741.11322@scott.skidmore.edu> jrogoff@scott.skidmore.edu (jay rogoff) writes:

>> I agree, though I'd also be happy with a stadium that looks
>> like new Comiskey. The new park was also made for baseball.
>> Unlike Three Rivers, the Vet, Riverfront, etc., it's not a
>> football park in which they also play baseball.

>While we're on the multipurpose subject, let's not forget Shea, which
>was designed to accommodate both the Mets & Jets.  It was the first
>stadium (I think) to have the box seats on rollers so they could be
>oriented at right angles for baseball & in parallel for football.

Not the first.  RFK, olim DC Stadium, was built 2 years earlier.
Nowadays they don't move the seats back for the few exhibition
games; but the 3rd-base/LF lower deck used to move.  It was all 
metal, which was pretty noisy on Bat Day.

>Of course, with the Jets gone to Jersey (and a truly good football
>stadium), the Mets are saddled with a multipurpose stadium where,
>because it's circular, the seats are almost always too far from the
>action.  The Mets announcers--Kiner & Murphy in particular--have
>always hyped it as ""beautiful Shea
>Stadium,"" a tipoff to how unbeautiful it truly is.

It's vastly better than it was before they fixed it, though.  Back in
the late 70's it was a *dump*.

Roger (don't you*like* jet noise?)",baseball
"From: golchowy@alchemy.chem.utoronto.ca (Gerald Olchowy)
Subject: Re: Too Many Europeans in NHL
Article-I.D.: alchemy.1993Apr6.141557.8864
Organization: University of Toronto Chemistry Department
Lines: 77

In article <rauser.734062608@sfu.ca> rauser@fraser.sfu.ca (Richard John Rauser) writes:
>   Ten years ago, the number of Europeans in the NHL was roughly a quarter
>of what it is now. Going into the 1992/93 season, the numbers of Euros on
>NHL teams have escalated to the following stats:
>
>Canadians: 400
>Americans: 100
>Europeans: 100
>
>   Please note that these numbers are rounded off, and taken from the top
>25 players on each of the 24 teams. My source is the Vancouver Sun.
>
>   Here's the point: there are far too many Europeans in the NHL. I am sick
>of watching a game between an American and a Canadian team (let's say, the
>Red Wings and the Canucks) and seeing names like ""Bure"" ""Konstantinov"" and
>""Borshevshky"". Is this North America or isn't it? Toronto, Detriot, Quebec,
>and Edmonton are particularly annoying, but the numbers of Euros on other
>teams is getting worse as well. 
>

From where I come from in Canada, Borshevsky sounds more Canadian than
Smith! -)

Anyways, crawl back into the hole you crawled out of...the NBA doesn't
care where they get basketball players from, major league baseball
doesn't give a damn where they get baseball players from (except Cuba,
that is).

Canada is in no imminent danger of being overtaken as the primary 
supplier of players...Sweden, Finland, the Czech Republic, and Slovakia
are all relatively small countries, and cannot really produce players
at a greater rate than they are already producing them, and the
potential influx from the former Soviet Union is severely blunted
because the system has been raided and is starved for finances and
will take a decade or two, to recover and become a real threat, and
the US will just maintain its slow increase.  Canada should continue
to supply 60% plus of the top hockey players in the world for the
forseeable future.

Besides we need the European hockey market if hockey is to take
its rightful place besides soccer as the two predominant world
sports...and since soccer is essentially boring, unlike hockey.

>    I live in Vancouver and if I hear one more word about ""Pavel Bure, the
>Russian Rocket"" I will completely throw up. As it is now, every time I see
>the Canucks play I keep hoping someone will cross-check Bure into the plexiglassso hard they have to carry him out on a stretcher. (By the way, I'm not a
>Canucks fan to begin with ;-). 
>
>    Okay, the stretcher remark was a little carried away. But the point is that
>I resent NHL owners drafting all these Europeans INSTEAD of Canadians (and
>some Americans). It denies young Canadians the opportunity to play in THEIR
>NORTH AMERICAN LEAGUE and instead gives it to Europeans, who aren't even
>better hockey players. It's all hype. This ""European mystique"" is sickening,
>but until NHL owners get over it, Canadian and American players will continue
>to have to fight harder to get drafted into their own league.
>
>    With the numbers of Euros in the NHL escalating, the problem is clearly
>only getting worse.
>

Canadians are under no threat...the European numbers will soon saturate,
if they haven't already...and by the time Russia comes online again,
the NHL should be a world league, and there will be many more teams
to stock and many more jobs for Canadian hockey players.  In the near
team, the percentage of Canadians will mostly decline because of 
Americans, not because of Europeans.

>    I'm all for the creation of a European Hockey League, and let the Bures
>and Selannes of the world play on their own continent.
>
>    I just don't want them on mine.
>

Crawl into a hole and die...   


Gerald",hockey
"Subject: Hal McRae
From: rbd@flash.ece.uc.edu (Bobby Davis)
Organization: University of Cincinnati
NNTP-Posting-Host: flash.ece.uc.edu
Lines: 18

DAK988S@vma.smsu.edu writes:
>No....Hal McRae is the worst manager in baseball.

I haven't seen enough Royals' games to judge his tactics, so you may have
a point here.  But:

>I've never seen a guy who can waste talent like he can.  One of the best
>raw-talent staffs in the league, and he's still finding a way to lose.

IMO, the Royals don't have a chance to win the pennant even if McRae
suddenly began channeling for John McGraw.  OK, they have some decent
pitchers.  But when your offense consists of bums like Gagne and Lind
and McReynolds and McRae and an over-the-hill Brett, you're not going
to finish .500 unless McGraw brings Christy Mathewson back with him.

I'd say it is hard to evaluate a manager when all of his hitters suck.

Bob Davis	rbd@thor.ece.uc.edu",baseball
"From: huot@cray.com (Tom Huot)
Subject: Re: plus minus stat
Lines: 16
Nntp-Posting-Host: pittpa.cray.com
Organization: Cray Research Inc.
X-Newsreader: TIN [version 1.1 PL8]

Gerald Olchowy (golchowy@alchemy.chem.utoronto.ca) wrote:
: It is meaningless to compare one player's plus/minus statistic with
: another players' out of the context of the role and the playing time
: of the players involved.    

: To compare Jagr's and Francis's plus/minus is ridiculous and absurd...

: Gerald

Thank you for putting this in perspective!

--
_____________________________________________________________________________
Tom Huot        			       
huot@cray.com 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",hockey
"From: m_klein@pavo.concordia.ca (CorelMARK!)
Subject: Re: Best Homeruns
News-Software: VAX/VMS VNEWS 1.41    
Nntp-Posting-Host: pavo1.concordia.ca
Organization: Concordia University
Lines: 18

I haven't been following the previous HR's.  But there are two, that I saw
live that would have to be up there (up where? there!).  
1) Rick Monday's HR to bury the Expos in the NL championship in 1981.
It was hit off Steve Rogers, who is a RHP and primarily a starter.
Why was he used as a reliever when the 'Spos had Reardon and BillLee
warming up in the bullpen.  Considering Monday couldn't touch LHP,
Lee would have been a safe bet.  He wasn't even doing any drugs at that
time (or so he told me and around 50 others on a recent venture into 
Montreal.  The blast wasn't the important aspect.  It was the timing.
Seventh game, a tie game, and in the top of the 9th.  The Expos almost
came back though...
2) Mike Schmidt hit one that killed the Expos in 1980.  So close, yet, so
far.
and
3) Strawberry killed a pitch on the second day of the season a couple of
years ago.  It went off the technical ring in the Big O.  It almost left
the stadium!  That was hit HARD!!!
				CorelMARK!",baseball
